mse,corr,shrink
0.0182117244714589,correlation,no shrinkage
0.0190587228327257,correlation,shrink std
0.00851237670493661,correlation,shrink basis
0.594570201186201,partial correlation,no shrinkage
0.011897963692894,partial correlation,shrink std
0.00248012890613927,partial correlation,shrink basis
0.000766935054722544,covariance,no shrinkage
0.000435698495297524,covariance,shrink std
0.000289540419298338,covariance,shrink basis
0.0189187186718069,correlation,no shrinkage
0.010921418770016,correlation,shrink std
0.00875619057184573,correlation,shrink basis
0.414982992684308,partial correlation,no shrinkage
0.0128759429730871,partial correlation,shrink std
0.00283059588476348,partial correlation,shrink basis
0.000289055966273879,covariance,no shrinkage
0.000166779355596061,covariance,shrink std
0.000129311941570855,covariance,shrink basis
0.0192085192571543,correlation,no shrinkage
0.0124257213931267,correlation,shrink std
0.00756201095413841,correlation,shrink basis
0.520321372153268,partial correlation,no shrinkage
0.0130064202841546,partial correlation,shrink std
0.00240807361266924,partial correlation,shrink basis
0.000211731206159633,covariance,no shrinkage
0.000127641756377247,covariance,shrink std
0.000146391761507985,covariance,shrink basis
0.0145039929916357,correlation,no shrinkage
0.0118392755855754,correlation,shrink std
0.00652751605909971,correlation,shrink basis
0.671651472394181,partial correlation,no shrinkage
0.00917185243307472,partial correlation,shrink std
0.00410754477916412,partial correlation,shrink basis
0.000463335373289553,covariance,no shrinkage
0.000610654609957921,covariance,shrink std
0.000335824564641104,covariance,shrink basis
0.00683360327499441,correlation,no shrinkage
0.0117950007956985,correlation,shrink std
0.00331535014939952,correlation,shrink basis
0.754267107241339,partial correlation,no shrinkage
0.00942661066265392,partial correlation,shrink std
0.00307328652862446,partial correlation,shrink basis
0.000172499263492946,covariance,no shrinkage
0.00015372977711668,covariance,shrink std
7.821518028904e-05,covariance,shrink basis
0.0215480572383451,correlation,no shrinkage
0.0164899304133053,correlation,shrink std
0.00882863901452028,correlation,shrink basis
0.287203217316772,partial correlation,no shrinkage
0.00701988677931429,partial correlation,shrink std
0.00247896049814519,partial correlation,shrink basis
0.000288833595687589,covariance,no shrinkage
0.000252176391949202,covariance,shrink std
6.89434757891565e-05,covariance,shrink basis
0.0130524430428066,correlation,no shrinkage
0.0138282721809062,correlation,shrink std
0.00357966335461462,correlation,shrink basis
0.577442357544044,partial correlation,no shrinkage
0.0136283987719173,partial correlation,shrink std
0.00204588161880259,partial correlation,shrink basis
0.000380110312314011,covariance,no shrinkage
0.000316339634837828,covariance,shrink std
8.03160905220201e-05,covariance,shrink basis
0.00722663871739673,correlation,no shrinkage
0.0103580366801865,correlation,shrink std
0.00206845525006923,correlation,shrink basis
0.201489509834877,partial correlation,no shrinkage
0.0109151602798311,partial correlation,shrink std
0.00258282268927593,partial correlation,shrink basis
0.000412537910889484,covariance,no shrinkage
0.000555298572604893,covariance,shrink std
0.000370357394031054,covariance,shrink basis
0.009971802285929,correlation,no shrinkage
0.0155339115043157,correlation,shrink std
0.00655162514939544,correlation,shrink basis
0.264554601312477,partial correlation,no shrinkage
0.0123122667232228,partial correlation,shrink std
0.00338226001389344,partial correlation,shrink basis
0.00235016044221294,covariance,no shrinkage
0.00107957572900446,covariance,shrink std
0.00091037865932201,covariance,shrink basis
0.00674127436654571,correlation,no shrinkage
0.00340350226175022,correlation,shrink std
0.00337559801811543,correlation,shrink basis
0.289328199994624,partial correlation,no shrinkage
0.0142227624346464,partial correlation,shrink std
0.00277512169337293,partial correlation,shrink basis
0.000599899857398749,covariance,no shrinkage
0.000801141626847321,covariance,shrink std
0.000290536766345055,covariance,shrink basis
0.0186753978935252,correlation,no shrinkage
0.0310804056116096,correlation,shrink std
0.00683229223814353,correlation,shrink basis
0.574965598130002,partial correlation,no shrinkage
0.00919830750536991,partial correlation,shrink std
0.0024236099528196,partial correlation,shrink basis
0.0017181758433445,covariance,no shrinkage
0.00185192387944819,covariance,shrink std
0.00161019407606632,covariance,shrink basis
0.00733942709396458,correlation,no shrinkage
0.010957084318839,correlation,shrink std
0.00468416952257237,correlation,shrink basis
0.368330345872628,partial correlation,no shrinkage
0.0165531879185062,partial correlation,shrink std
0.00233561547963814,partial correlation,shrink basis
0.000180005023940037,covariance,no shrinkage
0.000178298304933341,covariance,shrink std
0.000107856291882487,covariance,shrink basis
0.00926009923064723,correlation,no shrinkage
0.00919459699125431,correlation,shrink std
0.00343235134601186,correlation,shrink basis
0.36919150567477,partial correlation,no shrinkage
0.0143670029882826,partial correlation,shrink std
0.00207646928052408,partial correlation,shrink basis
0.000179777884320645,covariance,no shrinkage
0.00018837739313848,covariance,shrink std
5.74366472027937e-05,covariance,shrink basis
0.0208014930783824,correlation,no shrinkage
0.021049381939863,correlation,shrink std
0.00542059211075043,correlation,shrink basis
0.858214622620193,partial correlation,no shrinkage
0.00689886176046934,partial correlation,shrink std
0.00183753895754118,partial correlation,shrink basis
0.000229479524510796,covariance,no shrinkage
0.000283297510724404,covariance,shrink std
8.22214853054215e-05,covariance,shrink basis
0.0157331474761473,correlation,no shrinkage
0.0189746883196966,correlation,shrink std
0.00389718909853798,correlation,shrink basis
0.606383986653966,partial correlation,no shrinkage
0.0123200999842851,partial correlation,shrink std
0.00205142071604628,partial correlation,shrink basis
0.00110660829853818,covariance,no shrinkage
0.00177538212754916,covariance,shrink std
0.00115480192651473,covariance,shrink basis
0.00600321982209038,correlation,no shrinkage
0.01162918350872,correlation,shrink std
0.005550327065252,correlation,shrink basis
0.885208618579075,partial correlation,no shrinkage
0.0144573485610898,partial correlation,shrink std
0.00269352441387164,partial correlation,shrink basis
0.000369571393871948,covariance,no shrinkage
0.000264834908364502,covariance,shrink std
3.94829587129347e-05,covariance,shrink basis
0.00786817728904433,correlation,no shrinkage
0.00949417988325765,correlation,shrink std
0.00203779063526101,correlation,shrink basis
0.44791701262359,partial correlation,no shrinkage
0.0138193159294118,partial correlation,shrink std
0.00183621286694861,partial correlation,shrink basis
0.000204440544744225,covariance,no shrinkage
0.000129977591305557,covariance,shrink std
8.11953161590912e-05,covariance,shrink basis
0.0152789463663637,correlation,no shrinkage
0.0117626670127195,correlation,shrink std
0.00607339743689562,correlation,shrink basis
0.835290123005396,partial correlation,no shrinkage
0.011249927976015,partial correlation,shrink std
0.00272157724544663,partial correlation,shrink basis
0.00073503942398017,covariance,no shrinkage
0.000418563335485243,covariance,shrink std
0.000302572468984332,covariance,shrink basis
0.0151264961218427,correlation,no shrinkage
0.00897965924232259,correlation,shrink std
0.00644113396566397,correlation,shrink basis
0.338201000411688,partial correlation,no shrinkage
0.0160789160853788,partial correlation,shrink std
0.00253660571231522,partial correlation,shrink basis
0.000961873239446353,covariance,no shrinkage
0.00120543004292051,covariance,shrink std
0.0008567341763654,covariance,shrink basis
