MRPL15
SRSF11
STMN2
RPL22L1
ACTL6A
NDUFB5
FXR1
JADE1
PPID
HDGF
CCT3
SSR2
TPM3
ILF2
MCL1
RBM8A
CSDE1
BCAS2
PSMA5
DNTTIP2
1810037I17RIK
UBE2D3
H2AFZ
ADH5
SELENOF
GNG5
FUBP1
RPS20
NDUFB6
BAG1
VCP
STOML2
TOMM5
TXN1
PSIP1
RPS6
UQCRH
NASP
AKR1A1
RPS8
YBX1
RBBP4
EIF3I
ATPIF1
NUDC
SH3BGRL3
SRRM1
RPL11
KDM1A
CDC42
MINOS1
MRTO4
GM11942
CLTA
ANP32B
SEC61B
SMC2
L1TD1
MAGOH
PRDX1
EBNA1BP2
SF3A3
PSMB2
SFPQ
AK2
MARCKSL1
SNRNP40
DNAJC8
CAPZB
RCC2
SRM
ENO1
RPL22
MRPL20
AURKAIP1
DNAJC2
TOMM7
RHEB
TYMS
RFC1
RPL9
G3BP2
MIR703
HNRNPD
HNRNPDL
ATP5K
RNF10
DYNLL1
COX6A1
ERP29
ANAPC5
RSRC2
CHCHD2
MCM7
PDGFA
ACTB
PDAP1
ATP5J2
HMGB1
PSMC2
GRPEL1
LYAR
LAP3
PAICS
REST
UTP3
SPP1
RPL5
MTF2
GM3511
RPLP0
RPL6
VPS29
ARPC3
RAN
CCT6A
MDH2
HSPB1
POLR2J
COPS6
EIF3B
FSCN1
RPL21
POLR1D
POMP
SEM1
ASNS
NDUFA4
NDUFA5
MKRN1
HNRNPA2B1
LSM5
MRPL35
MAT2A
TMSB10
PCBP1
CNBP
MCM2
RPL32
SLC2A3
EMG1
PTMS
GAPDH
CD9
FKBP4
YBX3
LDHB
BCAT1
ATP6V1F
1810058I24RIK
SSBP1
TAX1BP1
SERBP1
IMMT
SUCLG1
CCT7
SNRPG
HNRNPF
NANOG
PHB2
MLF2
CHD4
MRPL51
H2AFJ
RPS4L
SELENOW
NOP53
SAE1
APOE
TOMM40
SNRPA
PSMC4
EIF3K
PSMD8
CAPNS1
TBCB
COX6B1
UBA2
GPI1
PDCD5
PRMT1
RPS11
RPL13A
BAX
MPHOSPH10
RPS17
EED
RPS3
TAF10
MRPL17
EIF4G2
PSMA1
RPS13
RPS15A
ARL6IP1
KNOP1
NDUFAB1
EIF3C
ALDOA
DCTPP1
NSMCE4A
RPS9
RPL28
RPS5
TRIM28
TMEM160
SNRPD2
RPS19
FBL
RPS16
RPL18
LDHA
SNRPA1
NDUFC2
RBMXL2
EIF3F
RPL27A
UQCRC2
MYLPF
FUS
BCCIP
GLRX3
IFITM1
TALDO1
RPLP2
CD81
ASH2L
MAK16
ZFP42
SLC25A4
NDUFA13
RPL18A
RBMXL1
ABCE1
SMARCA5
D8ERTD738E
CALR
ASNA1
VPS35
DNAJA2
GM8730
PSMD7
CFDP1
GCSH
APRT
ANKRD11
LAMP1
EIF4EBP1
HMGB2
LSM4
MRPL34
KLF2
SIN3B
MCM5
NDUFB7
DDX39
PRDX2
TRIR
RPS13-PS1
POLR2C
CTCF
NIP7
COX4I1
MAP1LC3B
RPL13
EIF3G
CDC37
SPC24
RPLP1
POLR2M
DPPA5A
OOEP
EEF1A1
COX7A2
U2SURP
RNF7
CDV3
MANF
GNAI2
TDGF1
CWC15
UBL5
PIN1
SEPT7
HSPA8
H2AFX
RPS25
TIMM8B
RDX
PSMA4
COX5A
PKM
ANP32A
RPL4
TIPIN
RBPMS2
PPIB
RPS27L
NEDD4
ARPP19
GSTA4
RHOA
GPX1
IMPDH2
SMARCC1
RPSA
RPL14
CTNNB1
MT-RNR1
MT-RNR2
MT-ND1
MT-ND2
MT-CO1
MT-ND4
MT-ND5
MT-CYTB
NDUFB11
RPL39
RPS4X
ATRX
BEX1
TMSB4X
SLC25A5
SSR4
RPL10
DKC1
COX7B
RPL36A
BEX4
BEX3
TRAP1A
EIF1AX
RBBP7
